timestamp,temperature,humidity,ppm,aqi,latitude,longitude,location_name
21:30:00,28.5,45.0,120,55,18.5204,73.8567,Test Pune Loc 
2025-11-26 23:05:49,25,50,35.12195,35.12195,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:06:05,25,50,34.63415,34.63415,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:06:20,25,50,32.92683,32.92683,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:06:35,25,50,33.41463,33.41463,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:06:51,25,50,30.97561,30.97561,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:07:06,25,50,33.41463,33.41463,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:07:21,25,50,32.92683,32.92683,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:07:36,25,50,58.53659,70.2439,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:07:52,25,50,66.34146,79.60976,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:08:07,25,50,67.56097,81.07317,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:08:22,25,50,60,72,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:08:38,25,50,58.04878,69.65854,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:08:53,25,50,62.43903,74.92683,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:09:08,25,50,59.26829,71.12195,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:09:23,25,50,57.80488,69.36585,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:09:39,25,50,55.36585,66.43903,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:09:54,25,50,59.02439,70.82927,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:10:09,25,50,57.56097,69.07317,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:10:24,25,50,56.34146,67.60976,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:10:39,25,50,60.2439,72.29269,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:10:55,25,50,56.09756,67.31707,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:11:10,25,50,62.43903,74.92683,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:11:25,25,50,58.04878,69.65854,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:11:41,25,50,56.58537,67.90244,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:11:56,25,50,58.53659,70.2439,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:12:11,25,50,62.43903,74.92683,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:12:26,25,50,60.4878,72.58537,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:12:42,25,50,58.04878,69.65854,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:12:57,25,50,60.2439,72.29269,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:13:12,25,50,29.5122,29.5122,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:13:27,25,50,38.29268,38.29268,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:13:43,25,50,29.7561,29.7561,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:13:58,25,50,27.80488,27.80488,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:14:13,25,50,70.7317,84.87804,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:14:28,25,50,31.46342,31.46342,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:14:44,25,50,28.29268,28.29268,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:14:59,25,50,27.31707,27.31707,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:15:14,25,50,29.7561,29.7561,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:15:29,25,50,42.92683,42.92683,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:15:45,25,50,42.92683,42.92683,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:16:00,25,50,43.90244,43.90244,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:16:15,25,50,42.92683,42.92683,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:16:31,25,50,50.73171,60.87805,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:16:46,25,50,50,50,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:17:01,25,50,51.95122,62.34146,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:17:16,25,50,51.46341,61.7561,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:17:31,25,50,53.17073,63.80488,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:17:47,25,50,48.29268,48.29268,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:18:02,25,50,50.73171,60.87805,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:18:17,25,50,46.82927,46.82927,18.469,73.8641,"Bibwewadi, Pune"
2025-11-26 23:18:33,25,50,48.04878,48.04878,18.469,73.8641,"Bibwewadi, Pune"
